obsDate;name;openValue;closeValue;higherValue;lowerValue;volume;marketType;currency
15/12/2021;Facebook;332,494;341,660;342,110;323,980;24681330,000;1;1
15/12/2021;Google;2868,180;2928,820;2934,420;2833,558;1818523,000;1;1
15/12/2021;Microsoft;328,610;334,650;335,190;324,500;35381120,000;1;1
15/12/2021;Tesla;953,210;975,990;978,750;928,250;25056410,000;1;1
14/12/2021;Apple;175,250;174,330;177,740;172,210;139380400,000;1;1
14/12/2021;Facebook;328,050;333,740;335,700;327,650;20461020,000;1;1
14/12/2021;Google;2879,360;2878,140;2889,600;2824,295;1922312,000;1;1
14/12/2021;Microsoft;333,220;328,340;334,640;324,110;44438700,000;1;1
14/12/2021;Tesla;945,000;958,510;966,410;930,000;23602090,000;1;1
13/12/2021;Apple;181,115;175,740;182,130;175,530;153237000,000;1;1
13/12/2021;Facebook;330,950;334,490;341,090;329,590;22948660,000;1;1
13/12/2021;Google;2955,630;2916,530;2959,400;2910,350;1353470,000;1;1
13/12/2021;Microsoft;340,680;339,400;343,790;339,080;28899430,000;1;1
13/12/2021;Tesla;1001,090;966,410;1005,000;951,420;26198500,000;1;1
11/12/2021;Microsoft;333,920;336,720;337,230;333,790;23831050,000;1;1
10/12/2021;Apple;175,205;179,450;179,630;174,690;115402700,000;1;1
10/12/2021;Facebook;332,555;329,750;335,030;326,370;14527970,000;1;1
10/12/2021;Google;2974,000;2960,030;2979,550;2934,075;1223138,000;1;1
10/12/2021;Microsoft;295,340;292,880;295,440;292,350;17974140,000;1;1
10/12/2021;Microsoft;334,980;342,540;343,000;334,790;38095690,000;1;1
10/12/2021;Tesla;1008,750;1017,030;1020,980;982,530;19888120,000;1;1
09/12/2021;Apple;174,910;174,560;176,750;173,920;108923700,000;1;1
09/12/2021;Facebook;329,540;329,820;336,130;328,000;16879170,000;1;1
09/12/2021;Google;2951,820;2952,770;2982,000;2942,300;1163486,000;1;1
09/12/2021;Microsoft;334,410;333,100;336,489;332,120;22214160,000;1;1
09/12/2021;Tesla;1060,640;1003,800;1062,490;1002,360;19812830,000;1;1
08/12/2021;Apple;172,125;175,080;175,960;170,700;116998900,000;1;1
08/12/2021;Facebook;325,000;330,560;332,750;323,070;19937720,000;1;1
08/12/2021;Google;2951,930;2963,730;2967,860;2928,120;1213516,000;1;1
08/12/2021;Microsoft;286,630;289,810;289,970;286,340;14570390,000;1;1
08/12/2021;Microsoft;335,310;334,970;335,500;330,800;24760990,000;1;1
08/12/2021;Tesla;1052,710;1068,960;1072,380;1033,000;13968790,000;1;1
07/12/2021;Apple;169,080;171,180;171,580;168,340;120405400,000;1;1
07/12/2021;Facebook;321,570;322,810;326,540;321,000;18794050,000;1;1
07/12/2021;Google;2911,930;2945,390;2950,623;2904,550;1612015,000;1;1
07/12/2021;Microsoft;279,157;277,320;279,770;276,580;18931700,000;1;1
07/12/2021;Microsoft;331,640;334,920;335,800;330,100;31021940,000;1;1
07/12/2021;Tesla;1044,200;1051,750;1057,674;1026,810;18694860,000;1;1
06/12/2021;Apple;164,290;165,320;167,880;164,280;107497000,000;1;1
06/12/2021;Facebook;308,130;317,870;320,100;306,340;21758340,000;1;1
06/12/2021;Google;2860,810;2863,100;2877,050;2803,000;1530905,000;1;1
06/12/2021;Microsoft;323,950;326,190;327,450;319,230;30032560,000;1;1
06/12/2021;Tesla;1001,510;1009,010;1021,640;950,500;27221040,000;1;1
05/12/2021;Microsoft;242,165;239,000;244,380;238,070;36684370,000;1;1
04/12/2021;Microsoft;254,710;255,910;257,670;254,620;27148670,000;1;1
03/12/2021;Apple;164,020;161,840;164,960;159,720;118023100,000;1;1
03/12/2021;Facebook;313,730;306,840;313,750;299,500;27471010,000;1;1
03/12/2021;Google;2873,620;2840,030;2888,000;2806,020;2061508,000;1;1
